variant,temperature,initial_xm,status,final_aq,final_xm,constraint_init_iterations,solves
main,2.90000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046605612591e+03,10,10
main,2.90000000000000000e+02,1.00000000000000000e+02,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824055e+03,10,10
main,2.90000000000000000e+02,3.00000000000000000e+02,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824066e+03,10,10
main,2.90000000000000000e+02,6.00000000000000000e+02,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824066e+03,10,10
main,2.90000000000000000e+02,8.00000000000000000e+02,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824055e+03,10,10
main,2.90000000000000000e+02,9.00000000000000000e+02,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824066e+03,10,10
main,2.90000000000000000e+02,1.20000000000000000e+03,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824066e+03,10,10
main,2.90000000000000000e+02,2.00000000000000000e+03,Constraint Initialization Failed,1.01302305236810027e+06,1.00649046312824055e+03,10,10
main,2.91000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.10346009899750631e+06,1.39909440343301139e+03,10,10
main,2.91000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,1.10346009899750631e+06,1.05045709766940740e+03,10,10
main,2.91000000000000000e+02,1.00000000000000000e+02,Converged,1.10346009899750631e+06,1.05045709050751157e+03,9,8
main,2.91000000000000000e+02,3.00000000000000000e+02,Converged,1.10346009899750631e+06,1.05045709050751157e+03,7,6
main,2.91000000000000000e+02,6.00000000000000000e+02,Converged,1.10346009899750631e+06,1.05045709050751157e+03,6,5
main,2.91000000000000000e+02,8.00000000000000000e+02,Converged,1.10346009899750631e+06,1.05045709050751157e+03,6,5
main,2.91000000000000000e+02,9.00000000000000000e+02,Converged,1.10346009899750631e+06,1.05045709050751157e+03,5,4
main,2.91000000000000000e+02,1.20000000000000000e+03,Converged,1.10346009899750631e+06,1.05045709050751157e+03,5,4
main,2.91000000000000000e+02,2.00000000000000000e+03,Converged,1.10346009899750631e+06,1.05045709050751157e+03,7,6
main,2.92000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.20126707565061492e+06,1.49610114359901945e+03,10,10
main,2.92000000000000000e+02,1.00000000000000000e+01,Constraint Initialization Failed,1.20126707565061492e+06,1.09602331749571272e+03,10,10
main,2.92000000000000000e+02,1.00000000000000000e+02,Converged,1.20126707565061492e+06,1.09602330068781612e+03,9,8
main,2.92000000000000000e+02,3.00000000000000000e+02,Converged,1.20126707565061492e+06,1.09602330068781612e+03,8,7
main,2.92000000000000000e+02,6.00000000000000000e+02,Converged,1.20126707565061492e+06,1.09602330068781612e+03,6,5
main,2.92000000000000000e+02,8.00000000000000000e+02,Converged,1.20126707565061492e+06,1.09602330068781612e+03,6,5
main,2.92000000000000000e+02,9.00000000000000000e+02,Converged,1.20126707565061492e+06,1.09602330068781612e+03,6,5
main,2.92000000000000000e+02,1.20000000000000000e+03,Converged,1.20126707565061492e+06,1.09602330068781612e+03,5,4
main,2.92000000000000000e+02,2.00000000000000000e+03,Converged,1.20126707565061492e+06,1.09602330068781612e+03,6,5
undamped,2.78000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.78000000000000000e+02,1.00000000000000000e+01,Converged,3.46044558018628159e+05,5.88255553380995707e+02,10,10
undamped,2.78000000000000000e+02,1.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521364212086e+02,7,7
undamped,2.78000000000000000e+02,3.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255538827370515e+02,5,5
undamped,2.78000000000000000e+02,6.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255532254621244e+02,3,3
undamped,2.78000000000000000e+02,8.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521026999759e+02,5,5
undamped,2.78000000000000000e+02,9.00000000000000000e+02,Converged,3.46044558018628159e+05,5.88255521043062345e+02,5,5
undamped,2.78000000000000000e+02,1.20000000000000000e+03,Converged,3.46044558018628159e+05,5.88255562411975689e+02,5,5
undamped,2.78000000000000000e+02,2.00000000000000000e+03,Converged,3.46044558018628159e+05,5.88255525458517354e+02,6,6
undamped,2.79000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.79000000000000000e+02,1.00000000000000000e+01,Converged,3.79785719177938823e+05,6.16267645883404157e+02,10,10
undamped,2.79000000000000000e+02,1.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267572067797119e+02,7,7
undamped,2.79000000000000000e+02,3.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267621130577027e+02,5,5
undamped,2.79000000000000000e+02,6.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267610533963875e+02,3,3
undamped,2.79000000000000000e+02,8.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267669974024670e+02,4,4
undamped,2.79000000000000000e+02,9.00000000000000000e+02,Converged,3.79785719177938823e+05,6.16267571093410879e+02,5,5
undamped,2.79000000000000000e+02,1.20000000000000000e+03,Converged,3.79785719177938823e+05,6.16267587062032703e+02,5,5
undamped,2.79000000000000000e+02,2.00000000000000000e+03,Converged,3.79785719177938823e+05,6.16267572822984903e+02,6,6
undamped,2.80000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.80000000000000000e+02,1.00000000000000000e+01,Converged,4.16539909210004495e+05,6.45399030995578755e+02,11,11
undamped,2.80000000000000000e+02,1.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399033672830910e+02,7,7
undamped,2.80000000000000000e+02,3.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399161058549453e+02,5,5
undamped,2.80000000000000000e+02,6.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030999582351e+02,4,4
undamped,2.80000000000000000e+02,8.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399053108876501e+02,4,4
undamped,2.80000000000000000e+02,9.00000000000000000e+02,Converged,4.16539909210004495e+05,6.45399030995937551e+02,5,5
undamped,2.80000000000000000e+02,1.20000000000000000e+03,Converged,4.16539909210004495e+05,6.45399036711708277e+02,5,5
undamped,2.80000000000000000e+02,2.00000000000000000e+03,Converged,4.16539909210004495e+05,6.45399031639881628e+02,6,6
undamped,2.81000000000000000e+02,1.00000000000000000e+00,Constraint Initialization Failed,1.00000000000000000e+00,1.00000000000000000e+00,11,11
undamped,2.81000000000000000e+02,1.00000000000000000e+01,Converged,4.56550758412539784e+05,6.75685398993248100e+02,11,11
undamped,2.81000000000000000e+02,1.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685405955392639e+02,7,7
undamped,2.81000000000000000e+02,3.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993229228e+02,6,6
undamped,2.81000000000000000e+02,6.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685399200609936e+02,4,4
undamped,2.81000000000000000e+02,8.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685402420844525e+02,4,4
undamped,2.81000000000000000e+02,9.00000000000000000e+02,Converged,4.56550758412539784e+05,6.75685398993193985e+02,5,5
undamped,2.81000000000000000e+02,1.20000000000000000e+03,Converged,4.56550758412539784e+05,6.75685400871113188e+02,5,5
undamped,2.81000000000000000e+02,2.00000000000000000e+03,Converged,4.56550758412539784e+05,6.75685399220440331e+02,6,6
