time,cell,A,B,C
163,2,0.333333,1.03015e-08,7.38716e-08
164,0,1,3.84749e-08,2.52765e-07
164,1,0.666666,2.85685e-08,1.7796e-07
164,2,0.333333,1.03017e-08,7.43879e-08
165,0,1,3.84758e-08,2.5454e-07
165,1,0.666666,2.85694e-08,1.79219e-07
165,2,0.333333,1.03018e-08,7.49042e-08
166,0,1,3.84766e-08,2.56315e-07
166,1,0.666666,2.85703e-08,1.80477e-07
166,2,0.333333,1.03019e-08,7.54204e-08
167,0,1,3.84774e-08,2.5809e-07
167,1,0.666666,2.85711e-08,1.81736e-07
167,2,0.333333,1.03021e-08,7.59367e-08
168,0,1,3.84782e-08,2.59865e-07
168,1,0.666666,2.85719e-08,1.82994e-07
168,2,0.333333,1.03022e-08,7.6453e-08
169,0,1,3.8479e-08,2.6164e-07
169,1,0.666666,2.85726e-08,1.84253e-07
169,2,0.333333,1.03023e-08,7.69693e-08
170,0,1,3.84797e-08,2.63415e-07
170,1,0.666666,2.85734e-08,1.85512e-07
170,2,0.333333,1.03024e-08,7.74856e-08
171,0,1,3.84804e-08,2.6519e-07
171,1,0.666666,2.85741e-08,1.8677e-07
171,2,0.333333,1.03025e-08,7.80019e-08
172,0,1,3.8481e-08,2.66965e-07
172,1,0.666666,2.85747e-08,1.88029e-07
172,2,0.333333,1.03026e-08,7.85182e-08
173,0,1,3.84816e-08,2.68741e-07
173,1,0.666666,2.85753e-08,1.89288e-07
173,2,0.333333,1.03027e-08,7.90345e-08
174,0,1,3.84822e-08,2.70516e-07
174,1,0.666666,2.8576e-08,1.90546e-07
174,2,0.333333,1.03028e-08,7.95508e-08
175,0,1,3.84828e-08,2.72291e-07
175,1,0.666666,2.85765e-08,1.91805e-07
175,2,0.333333,1.03029e-08,8.00671e-08
176,0,1,3.84833e-08,2.74067e-07
176,1,0.666666,2.85771e-08,1.93064e-07
176,2,0.333333,1.03029e-08,8.05834e-08
177,0,1,3.84839e-08,2.75842e-07
177,1,0.666666,2.85776e-08,1.94323e-07
177,2,0.333333,1.0303e-08,8.10998e-08
