time,cell,A,B,C
186,0,0.689615,0.233561,0.0768314
186,1,0.459754,0.155707,0.0512207
186,2,0.229877,0.0778537,0.0256103
187,0,0.688238,0.234235,0.0775341
187,1,0.458836,0.156157,0.0516892
187,2,0.229418,0.0780783,0.0258446
188,0,0.686865,0.234904,0.0782388
188,1,0.457921,0.156603,0.052159
188,2,0.22896,0.0783013,0.0260795
189,0,0.685495,0.235568,0.0789455
189,1,0.457007,0.157046,0.0526301
189,2,0.228504,0.0785228,0.026315
190,0,0.684126,0.236228,0.0796542
190,1,0.456093,0.157485,0.0531026
190,2,0.228047,0.0787426,0.0265513
191,0,0.68276,0.236883,0.0803648
191,1,0.455184,0.157922,0.0535763
191,2,0.227592,0.0789609,0.0267882
192,0,0.681398,0.237533,0.0810774
192,1,0.454274,0.158355,0.0540514
192,2,0.227137,0.0791777,0.0270257
193,0,0.680038,0.238178,0.081792
193,1,0.453368,0.158786,0.0545277
193,2,0.226684,0.0793929,0.0272639
194,0,0.67868,0.238819,0.0825084
194,1,0.452464,0.159213,0.0550054
194,2,0.226232,0.0796065,0.0275027
195,0,0.677326,0.239456,0.0832268
195,1,0.451561,0.159637,0.0554843
195,2,0.22578,0.0798186,0.0277421
196,0,0.675974,0.240087,0.0839471
196,1,0.450659,0.160058,0.0559645
196,2,0.22533,0.0800292,0.0279822
197,0,0.674625,0.240714,0.0846692
197,1,0.44976,0.160476,0.0564459
197,2,0.22488,0.0802382,0.0282229
198,0,0.673279,0.241337,0.0853932
198,1,0.448863,0.160892,0.0569286
198,2,0.224431,0.0804458,0.0284643
199,0,0.671934,0.241955,0.0861191
199,1,0.447967,0.161304,0.0574125
199,2,0.223984,0.0806518,0.0287062
200,0,0.670593,0.242568,0.0868468
200,1,0.447074,0.161713,0.0578976
200,2,0.223537,0.0808563,0.0289488
201,0,0.669256,0.243177,0.0875763
201,1,0.446182,0.162119,0.058384
201,2,0.223091,0.0810593,0.029192
202,0,0.667919,0.243782,0.0883077
202,1,0.445292,0.162522,0.0588715
202,2,0.222646,0.0812608,0.0294358
203,0,0.666586,0.244382,0.0890408
203,1,0.444403,0.162922,0.0593603
203,2,0.222202,0.0814608,0.0296802
204,0,0.665256,0.244977,0.0897757
204,1,0.443515,0.163319,0.0598503
204,2,0.221758,0.0816593,0.0299251
205,0,0.663929,0.245569,0.0905125
205,1,0.442629,0.163713,0.0603414
205,2,0.221315,0.0818564,0.0301707
206,0,0.662603,0.246155,0.0912509
206,1,0.441745,0.164104,0.0608337
206,2,0.220873,0.082052,0.0304169
207,0,0.661282,0.246738,0.0919911
207,1,0.440863,0.164492,0.0613272
207,2,0.220432,0.0822461,0.0306636
208,0,0.659962,0.247316,0.0927331
208,1,0.439983,0.164878,0.0618218
208,2,0.219992,0.0824388,0.0309109
209,0,0.658646,0.247889,0.0934767
209,1,0.439105,0.16526,0.0623176
209,2,0.219552,0.08263,0.0311588
210,0,0.657331,0.248459,0.0942221
210,1,0.438228,0.16564,0.0628145
210,2,0.219114,0.0828198,0.0314073
211,0,0.656019,0.249024,0.0949692
211,1,0.437354,0.166016,0.0633126
211,2,0.218677,0.0830081,0.0316563
212,0,0.654711,0.249584,0.0957179
212,1,0.43648,0.16639,0.0638117
212,2,0.21824,0.083195,0.0319059
213,0,0.653402,0.250141,0.0964684
213,1,0.435609,0.166761,0.064312
213,2,0.217804,0.0833805,0.032156
214,0,0.652098,0.250693,0.0972204
214,1,0.434739,0.167129,0.0648134
214,2,0.217369,0.0835645,0.0324067
215,0,0.650797,0.251241,0.0979742
215,1,0.433871,0.167494,0.0653159
215,2,0.216935,0.0837471,0.0326579
216,0,0.649498,0.251784,0.0987295
216,1,0.433005,0.167857,0.0658195
216,2,0.216503,0.0839284,0.0329097
217,0,0.648201,0.252324,0.0994865
217,1,0.432141,0.168216,0.0663241
217,2,0.21607,0.0841082,0.0331621
218,0,0.646908,0.252859,0.100245
218,1,0.431279,0.168573,0.0668298
218,2,0.215639,0.0842866,0.0334149
219,0,0.645617,0.25339,0.101005
219,1,0.430418,0.168927,0.0673366
219,2,0.215209,0.0844636,0.0336683
220,0,0.644327,0.253917,0.101767
220,1,0.429558,0.169279,0.0678444
220,2,0.214779,0.0846393,0.0339222
221,0,0.643042,0.25444,0.10253
221,1,0.428701,0.169627,0.0683533
221,2,0.214351,0.0848135,0.0341767
222,0,0.641758,0.254958,0.103295
222,1,0.427846,0.169973,0.0688632
222,2,0.213923,0.0849864,0.0344316
223,0,0.640478,0.255473,0.104062
223,1,0.426992,0.170316,0.0693742
223,2,0.213496,0.0851579,0.0346871
224,0,0.6392,0.255983,0.10483
224,1,0.42614,0.170656,0.0698862
224,2,0.21307,0.0853281,0.0349431
225,0,0.637924,0.25649,0.105599
225,1,0.425291,0.170994,0.0703991
225,2,0.212645,0.0854969,0.0351996
226,0,0.636652,0.256992,0.10637
226,1,0.424442,0.171329,0.0709131
226,2,0.212221,0.0856643,0.0354566
227,0,0.63538,0.25749,0.107142
227,1,0.423594,0.171661,0.0714281
